trial,allocationLeft,allocationRight,left,time,task,evalPeriod,stockAllocation,n_trial,usertoken,treatment,mturker,dv,eval_period_normalized
0,40,60,stocks,2021-03-14T18:12:18Z,task2,1,40,8,bD48Dkqx,hops,master,0.6990419999999999,-0.4666666666666667
0,12,88,stocks,2021-03-14T18:50:44Z,task2,30,12,8,eQFXhCnI,hops,master,0.560918,0.5
0,70,30,stocks,2021-03-14T19:05:22Z,task2,1,70,8,HnGQuT00,point,master,0.847032,-0.4666666666666667
0,70,30,stocks,2021-03-14T18:54:20Z,task2,1,70,8,Ks0A1NpT,barchart,master,0.847032,-0.4666666666666667
0,10,90,bonds,2021-03-15T01:35:17Z,task2,30,90,8,M5LqR4zT,barchart,master,0.945692,0.5
0,70,30,stocks,2021-03-15T01:27:32Z,task2,1,70,8,3ndBz7Qo,table,master,0.847032,-0.4666666666666667
0,0,100,bonds,2021-03-15T01:25:37Z,task2,1,100,8,AWr1hgkv,hopsdist,master,0.995022,-0.4666666666666667
0,0,100,bonds,2021-03-15T01:30:44Z,task2,30,100,8,CdUu1H6o,interval,master,0.995022,0.5
0,9,91,bonds,2021-03-15T01:44:13Z,task2,1,91,8,zPh3til0,table,master,0.950625,-0.4666666666666667
0,4,96,bonds,2021-03-15T04:23:27Z,task2,30,96,8,qjKh7UVK,dotplot,master,0.97529,0.5
0,20,80,stocks,2021-03-15T04:15:06Z,task2,30,20,8,0kdSrEo1,hops,master,0.600382,0.5
0,20,80,bonds,2021-03-15T04:02:06Z,task2,30,80,8,NtGf92sF,hops,master,0.896362,0.5
0,30,70,stocks,2021-03-15T04:23:48Z,task2,30,30,8,s4Q3qpf8,density,master,0.6497120000000001,0.5
0,3,97,bonds,2021-03-15T04:24:29Z,task2,30,97,8,wcNpYsey,table,master,0.9802230000000001,0.5
0,25,75,bonds,2021-03-15T04:24:30Z,task2,30,75,8,jRfV99uU,interval,master,0.8716969999999999,0.5
0,9,91,bonds,2021-03-15T04:34:38Z,task2,1,91,8,vfzDKPXv,point,master,0.950625,-0.4666666666666667
0,15,85,stocks,2021-03-15T04:23:55Z,task2,30,15,8,kNKuLFG1,dotplot,master,0.575717,0.5
0,25,75,bonds,2021-03-15T04:21:29Z,task2,30,75,8,zmUvANDx,interval,master,0.8716969999999999,0.5
0,50,50,stocks,2021-03-15T04:23:37Z,task2,30,50,8,benynrvy,density,master,0.748372,0.5
0,30,70,stocks,2021-03-15T04:37:08Z,task2,30,30,8,ebn3H4dp,density,master,0.6497120000000001,0.5
0,50,50,stocks,2021-03-15T04:35:55Z,task2,1,50,8,9WnJN1l8,dotplot,master,0.748372,-0.4666666666666667
0,12,88,stocks,2021-03-15T04:40:14Z,task2,30,12,8,Ezv2ERqp,dotplot,master,0.560918,0.5
0,40,60,stocks,2021-03-15T05:36:51Z,task2,30,40,8,ybFQHjKq,density,master,0.6990419999999999,0.5
0,80,20,stocks,2021-03-15T06:15:55Z,task2,30,80,8,F5VIGNAk,hopsdist,master,0.896362,0.5
0,30,70,bonds,2021-03-15T23:10:52Z,task2,30,70,8,E59UVtDr,point,master,0.847032,0.5
0,0,100,bonds,2021-03-15T09:53:38Z,task2,30,100,8,v2e8aGQ4,point,master,0.995022,0.5
0,15,85,bonds,2021-03-15T10:11:06Z,task2,30,85,8,YiuoCenX,table,master,0.921027,0.5
0,0,100,bonds,2021-03-15T12:01:20Z,task2,30,100,8,ZAoHkw0a,hops,master,0.995022,0.5
0,95,5,bonds,2021-03-15T13:28:43Z,task2,1,5,8,M45OaFvP,dotplot,master,0.526387,-0.4666666666666667
0,100,0,stocks,2021-03-15T13:35:39Z,task2,30,100,8,iqmer3KI,point,master,0.995022,0.5
0,10,90,stocks,2021-03-15T13:53:30Z,task2,30,10,8,T7HR6iyi,density,master,0.551052,0.5
0,25,75,bonds,2021-03-15T20:00:48Z,task2,1,75,8,rcY6S9oO,dotplot,master,0.8716969999999999,-0.4666666666666667
0,50,50,bonds,2021-03-15T20:07:31Z,task2,30,50,8,lNOCYGhO,dotplot,master,0.748372,0.5
0,40,60,stocks,2021-03-15T20:04:14Z,task2,30,40,8,140n4mbs,hops,master,0.6990419999999999,0.5
0,0,100,stocks,2021-03-15T20:42:09Z,task2,1,0,8,f5LKgqpQ,point,master,0.501722,-0.4666666666666667
0,25,75,bonds,2021-03-15T22:14:24Z,task2,30,75,8,DBQIKx8Z,table,master,0.8716969999999999,0.5
0,60,40,stocks,2021-03-16T04:42:37Z,task2,30,60,8,39ZWzf76,dotplot,master,0.797702,0.5
0,35,65,stocks,2021-03-16T04:59:13Z,task2,30,35,8,AR0XBZIP,interval,master,0.674377,0.5
0,0,100,bonds,2021-03-16T14:33:05Z,task2,30,100,8,fzvUmShi,point,master,0.995022,0.5
0,60,40,stocks,2021-03-16T18:58:41Z,task2,30,60,8,ISxZ2FH5,hops,master,0.797702,0.5
0,80,20,stocks,2021-03-16T19:20:09Z,task2,30,80,8,ixnlV8AS,table,non-master,0.896362,0.5
0,80,20,bonds,2021-03-17T13:07:03Z,task2,1,20,8,kcjVVfCK,table,non-master,0.600382,-0.4666666666666667
0,30,70,bonds,2021-03-17T13:03:53Z,task2,30,70,8,Es5ER1YT,dotplot,non-master,0.847032,0.5
0,70,30,stocks,2021-03-17T13:07:07Z,task2,1,70,8,6ZVU5hiB,barchart,non-master,0.847032,-0.4666666666666667
0,8,92,bonds,2021-03-17T13:33:53Z,task2,1,92,8,xCjrtzRP,density,non-master,0.955558,-0.4666666666666667
0,18,82,stocks,2021-03-17T14:35:14Z,task2,1,18,8,1C6DBLUa,hops,non-master,0.590516,-0.4666666666666667
0,50,50,bonds,2021-03-17T13:50:24Z,task2,30,50,8,7ucyRcab,hopsdist,non-master,0.748372,0.5
0,10,90,bonds,2021-03-17T14:01:44Z,task2,1,90,8,TF24R4Vr,point,non-master,0.945692,-0.4666666666666667
0,85,15,stocks,2021-03-17T14:31:48Z,task2,30,85,8,JRSkVids,hopsdist,non-master,0.921027,0.5
0,60,40,stocks,2021-03-17T14:43:30Z,task2,1,60,8,EACALwsH,barchart,non-master,0.797702,-0.4666666666666667
0,75,25,stocks,2021-03-17T15:25:19Z,task2,30,75,8,bijkrN4x,interval,non-master,0.8716969999999999,0.5
0,60,40,stocks,2021-03-17T16:27:17Z,task2,1,60,8,UhLgT1NF,hops,non-master,0.797702,-0.4666666666666667
0,20,80,stocks,2021-03-17T16:35:07Z,task2,1,20,8,HYZzEL2u,dotplot,non-master,0.600382,-0.4666666666666667
0,0,100,bonds,2021-03-17T16:30:03Z,task2,1,100,8,VdYpbJUh,dotplot,non-master,0.995022,-0.4666666666666667
0,100,0,stocks,2021-03-17T16:35:59Z,task2,30,100,8,sXf1t2TC,table,non-master,0.995022,0.5
0,0,100,bonds,2021-03-17T16:46:13Z,task2,30,100,8,a3sNCAlt,point,non-master,0.995022,0.5
0,55,45,stocks,2021-03-17T16:54:45Z,task2,1,55,8,WeLeVmdO,hops,non-master,0.773037,-0.4666666666666667
0,10,90,bonds,2021-03-17T16:43:08Z,task2,30,90,8,651zZLZY,dotplot,non-master,0.945692,0.5
